"Country or Area","SNA93 Table Code","Sub Group","Item","SNA93 Item Code","Year","Series","Currency","SNA System","Fiscal Year Type","Value","Value Footnotes","Value Footnotes"
"Afghanistan","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","100","Afghanis","1993","Fiscal year beginning 21 March","302449507419.781","",""
"Afghanistan","2.1","Industries","Mining and quarrying","C","2018","100","Afghanis","1993","Fiscal year beginning 21 March","15630268715.5749","",""
"Afghanistan","2.1","Industries","Manufacturing","D","2018","100","Afghanis","1993","Fiscal year beginning 21 March","157263201003.339","",""
"Afghanistan","2.1","Industries","Electricity, gas and water supply","E","2018","100","Afghanis","1993","Fiscal year beginning 21 March","1149804175.23765","",""
"Afghanistan","2.1","Industries","Construction","F","2018","100","Afghanis","1993","Fiscal year beginning 21 March","173006272168.746","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","100","Afghanis","1993","Fiscal year beginning 21 March","119871400712.522","",""
"Afghanistan","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","100","Afghanis","1993","Fiscal year beginning 21 March","99157237585.3988","",""
"Afghanistan","2.1","Industries","Hotels and restaurants","H","2018","100","Afghanis","1993","Fiscal year beginning 21 March","20714163127.1228","",""
"Afghanistan","2.1","Industries","Transport, storage and communications","I","2018","100","Afghanis","1993","Fiscal year beginning 21 March","363105680465.688","",""
"Afghanistan","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","100","Afghanis","1993","Fiscal year beginning 21 March","277263053409.863","",""
"Afghanistan","2.1","Industries","Post and telecommunications","64","2018","100","Afghanis","1993","Fiscal year beginning 21 March","85842627055.8243","",""
"Afghanistan","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","100","Afghanis","1993","Fiscal year beginning 21 March","56145090960.0585","",""
"Afghanistan","2.1","Industries","Financial intermediation","J","2018","100","Afghanis","1993","Fiscal year beginning 21 March","14093649600.8201","1","1"
"Afghanistan","2.1","Industries","Real estate, renting and business activities","K","2018","100","Afghanis","1993","Fiscal year beginning 21 March","42051441359.2384","2","2"
"Afghanistan","2.1","Industries","Public administration and defence; compulsory social security","L","2018","100","Afghanis","1993","Fiscal year beginning 21 March","189955000000","",""
"Afghanistan","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","100","Afghanis","1993","Fiscal year beginning 21 March","10520827638.5781","",""
"Afghanistan","2.1","Industries","Other community, social and personal services","O","2018","100","Afghanis","1993","Fiscal year beginning 21 March","10520827638.5781","",""
"Afghanistan","2.1","Industries","Plus: Statistical discrepancy","","2018","100","Afghanis","1993","Fiscal year beginning 21 March","21809022733.8671","3","3"
"Afghanistan","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","100","Afghanis","1993","Fiscal year beginning 21 March","1411095316344.52","",""
"Afghanistan","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","100","Afghanis","1993","Fiscal year beginning 21 March","67612000000","",""
"Afghanistan","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","100","Afghanis","1993","Fiscal year beginning 21 March","1478707316344.52","",""
"Argentina","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","1100","Argentine peso","2008","Western calendar year","894416704435.066","",""
"Argentina","2.1","Industries","Agriculture, hunting, forestry","A","2018","1100","Argentine peso","2008","Western calendar year","839739333792.583","",""
"Argentina","2.1","Industries","Agriculture, hunting and related service activities","01","2018","1100","Argentine peso","2008","Western calendar year","835020665542.157","",""
"Argentina","2.1","Industries","Forestry, logging and related service activities","02","2018","1100","Argentine peso","2008","Western calendar year","4718668250.42522","",""
"Argentina","2.1","Industries","Fishing","B","2018","1100","Argentine peso","2008","Western calendar year","54677370642.4833","",""
"Argentina","2.1","Industries","Mining and quarrying","C","2018","1100","Argentine peso","2008","Western calendar year","561730076523.66","",""
"Argentina","2.1","Industries","Manufacturing","D","2018","1100","Argentine peso","2008","Western calendar year","1857585888403.25","",""
"Argentina","2.1","Industries","Electricity, gas and water supply","E","2018","1100","Argentine peso","2008","Western calendar year","345586527438.149","",""
"Argentina","2.1","Industries","Construction","F","2018","1100","Argentine peso","2008","Western calendar year","592739496451.709","",""
"Argentina","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","1100","Argentine peso","2008","Western calendar year","2179891559210.33","",""
"Argentina","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","1100","Argentine peso","2008","Western calendar year","1883101602060.39","",""
"Argentina","2.1","Industries","Hotels and restaurants","H","2018","1100","Argentine peso","2008","Western calendar year","296789957149.945","",""
"Argentina","2.1","Industries","Transport, storage and communications","I","2018","1100","Argentine peso","2008","Western calendar year","851133939062.175","",""
"Argentina","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","1100","Argentine peso","2008","Western calendar year","538105310894.611","",""
"Argentina","2.1","Industries","Post and telecommunications","64","2018","1100","Argentine peso","2008","Western calendar year","313028628167.564","",""
"Argentina","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","1100","Argentine peso","2008","Western calendar year","2073686708216.46","",""
"Argentina","2.1","Industries","Financial intermediation","J","2018","1100","Argentine peso","2008","Western calendar year","607453214658.959","",""
"Argentina","2.1","Industries","Real estate, renting and business activities","K","2018","1100","Argentine peso","2008","Western calendar year","1466233493557.5","",""
"Argentina","2.1","Industries","Public administration and defence; compulsory social security","L","2018","1100","Argentine peso","2008","Western calendar year","1027059607168.91","",""
"Argentina","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","1100","Argentine peso","2008","Western calendar year","1875619750596.19","",""
"Argentina","2.1","Industries","Education","M","2018","1100","Argentine peso","2008","Western calendar year","733082045101.135","",""
"Argentina","2.1","Industries","Health and social work","N","2018","1100","Argentine peso","2008","Western calendar year","746294898107.896","",""
"Argentina","2.1","Industries","Other community, social and personal services","O","2018","1100","Argentine peso","2008","Western calendar year","396242807387.163","",""
"Argentina","2.1","Industries","Private households with employed persons","P","2018","1100","Argentine peso","2008","Western calendar year","96147469620.1642","",""
"Argentina","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","1100","Argentine peso","2008","Western calendar year","12355597727126.1","",""
"Argentina","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","1100","Argentine peso","2008","Western calendar year","2210961062357.73","",""
"Argentina","2.1","Industries","Plus: Taxes on products","D.21","2018","1100","Argentine peso","2008","Western calendar year","2268973225445.99","",""
"Argentina","2.1","Industries","Less: Subsidies on products","D.31","2018","1100","Argentine peso","2008","Western calendar year","58012163088.2639","",""
"Argentina","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","1100","Argentine peso","2008","Western calendar year","14566558789483.8","",""
"Argentina","2.1","","Memorandum Item: FISIM, if distributed to uses","P.119","2018","1100","Argentine peso","2008","Western calendar year","137278689477.765","",""
"Bangladesh","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","100","taka","1993","Fiscal year ending 30 June","2942398000000","",""
"Bangladesh","2.1","Industries","Agriculture, hunting, forestry","A","2018","100","taka","1993","Fiscal year ending 30 June","2273525000000","",""
"Bangladesh","2.1","Industries","Agriculture, hunting and related service activities","01","2018","100","taka","1993","Fiscal year ending 30 June","1987957000000","",""
"Bangladesh","2.1","Industries","Forestry, logging and related service activities","02","2018","100","taka","1993","Fiscal year ending 30 June","285568000000","",""
"Bangladesh","2.1","Industries","Fishing","B","2018","100","taka","1993","Fiscal year ending 30 June","668823000000","",""
"Bangladesh","2.1","Industries","Mining and quarrying","C","2018","100","taka","1993","Fiscal year ending 30 June","388837000000","",""
"Bangladesh","2.1","Industries","Manufacturing","D","2018","100","taka","1993","Fiscal year ending 30 June","4041443000000","",""
"Bangladesh","2.1","Industries","Electricity, gas and water supply","E","2018","100","taka","1993","Fiscal year ending 30 June","293361000000","",""
"Bangladesh","2.1","Industries","Construction","F","2018","100","taka","1993","Fiscal year ending 30 June","1698550000000","",""
"Bangladesh","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","100","taka","1993","Fiscal year ending 30 June","3019453000000","",""
"Bangladesh","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","100","taka","1993","Fiscal year ending 30 June","2798225000000","",""
"Bangladesh","2.1","Industries","Hotels and restaurants","H","2018","100","taka","1993","Fiscal year ending 30 June","221228000000","",""
"Bangladesh","2.1","Industries","Transport, storage and communications","I","2018","100","taka","1993","Fiscal year ending 30 June","2046300000000","",""
"Bangladesh","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","100","taka","1993","Fiscal year ending 30 June","1799175000000","",""
"Bangladesh","2.1","Industries","Post and telecommunications","64","2018","100","taka","1993","Fiscal year ending 30 June","247125000000","",""
"Bangladesh","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","100","taka","1993","Fiscal year ending 30 June","2501472000000","",""
"Bangladesh","2.1","Industries","Financial intermediation","J","2018","100","taka","1993","Fiscal year ending 30 June","837283000000","",""
"Bangladesh","2.1","Industries","Real estate, renting and business activities","K","2018","100","taka","1993","Fiscal year ending 30 June","1664189000000","",""
"Bangladesh","2.1","Industries","Public administration and defence; compulsory social security","L","2018","100","taka","1993","Fiscal year ending 30 June","902277000000","",""
"Bangladesh","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","100","taka","1993","Fiscal year ending 30 June","3449199000000","",""
"Bangladesh","2.1","Industries","Education","M","2018","100","taka","1993","Fiscal year ending 30 June","644778000000","",""
"Bangladesh","2.1","Industries","Health and social work","N","2018","100","taka","1993","Fiscal year ending 30 June","440642000000","",""
"Bangladesh","2.1","Industries","Other community, social and personal services","O","2018","100","taka","1993","Fiscal year ending 30 June","2363779000000","",""
"Bangladesh","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","100","taka","1993","Fiscal year ending 30 June","21283239000000","",""
"Bangladesh","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","100","taka","1993","Fiscal year ending 30 June","1221555000000","",""
"Bangladesh","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","100","taka","1993","Fiscal year ending 30 June","22504793000000","",""
"Bolivia (Plurinational State of)","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","20","boliviano                               ","1968","Western calendar year","31964258527.3049","",""
"Bolivia (Plurinational State of)","2.1","Industries","Agriculture, hunting, forestry","A","2018","20","boliviano                               ","1968","Western calendar year","31964258527.3049","",""
"Bolivia (Plurinational State of)","2.1","Industries","Agriculture, hunting and related service activities","01","2018","20","boliviano                               ","1968","Western calendar year","29755324071.431","",""
"Bolivia (Plurinational State of)","2.1","Industries","Forestry, logging and related service activities","02","2018","20","boliviano                               ","1968","Western calendar year","2208934455.8739","",""
"Bolivia (Plurinational State of)","2.1","Industries","Mining and quarrying","C","2018","20","boliviano                               ","1968","Western calendar year","30425958035.8314","",""
"Bolivia (Plurinational State of)","2.1","Industries","Manufacturing","D","2018","20","boliviano                               ","1968","Western calendar year","28794056096.4835","",""
"Bolivia (Plurinational State of)","2.1","Industries","Electricity, gas and water supply","E","2018","20","boliviano                               ","1968","Western calendar year","5894498886.76064","",""
"Bolivia (Plurinational State of)","2.1","Industries","Construction","F","2018","20","boliviano                               ","1968","Western calendar year","7952749875.28654","",""
"Bolivia (Plurinational State of)","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","20","boliviano                               ","1968","Western calendar year","26129479413.724","",""
"Bolivia (Plurinational State of)","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","20","boliviano                               ","1968","Western calendar year","19524662958.5466","",""
"Bolivia (Plurinational State of)","2.1","Industries","Hotels and restaurants","H","2018","20","boliviano                               ","1968","Western calendar year","6604816455.17738","",""
"Bolivia (Plurinational State of)","2.1","Industries","Transport, storage and communications","I","2018","20","boliviano                               ","1968","Western calendar year","25656465710.0092","",""
"Bolivia (Plurinational State of)","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","20","boliviano                               ","1968","Western calendar year","23070565813.4241","",""
"Bolivia (Plurinational State of)","2.1","Industries","Post and telecommunications","64","2018","20","boliviano                               ","1968","Western calendar year","2585899896.58505","",""
"Bolivia (Plurinational State of)","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","20","boliviano                               ","1968","Western calendar year","28646357887.6619","",""
"Bolivia (Plurinational State of)","2.1","Industries","Financial intermediation","J","2018","20","boliviano                               ","1968","Western calendar year","14529764389.6391","",""
"Bolivia (Plurinational State of)","2.1","Industries","Real estate, renting and business activities","K","2018","20","boliviano                               ","1968","Western calendar year","14116593498.0228","",""
"Bolivia (Plurinational State of)","2.1","Industries","Public administration and defence; compulsory social security","L","2018","20","boliviano                               ","1968","Western calendar year","44799216614.9141","",""
"Bolivia (Plurinational State of)","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","20","boliviano                               ","1968","Western calendar year","9935088507.4857","",""
"Bolivia (Plurinational State of)","2.1","Industries","Private households with employed persons","P","2018","20","boliviano                               ","1968","Western calendar year","1505289739.8821","",""
"Bolivia (Plurinational State of)","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","20","boliviano                               ","1968","Western calendar year","241703419295.344","",""
"Bolivia (Plurinational State of)","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2018","20","boliviano                               ","1968","Western calendar year","12028998334.1626","",""
"Bolivia (Plurinational State of)","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","20","boliviano                               ","1968","Western calendar year","48713226238.4083","",""
"Bolivia (Plurinational State of)","2.1","Industries","Plus: Taxes on products","D.21","2018","20","boliviano                               ","1968","Western calendar year","48713226238.4083","",""
"Bolivia (Plurinational State of)","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","20","boliviano                               ","1968","Western calendar year","278387647199.59","",""
"Botswana","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","300","pula","1993","Western calendar year","3794320226.58875","4","4"
"Botswana","2.1","Industries","Mining and quarrying","C","2018","300","pula","1993","Western calendar year","31065683009.6245","",""
"Botswana","2.1","Industries","Manufacturing","D","2018","300","pula","1993","Western calendar year","9794662361.53844","4","4"
"Botswana","2.1","Industries","Electricity, gas and water supply","E","2018","300","pula","1993","Western calendar year","2229079266.30974","",""
"Botswana","2.1","Industries","Construction","F","2018","300","pula","1993","Western calendar year","12574626356.313","4","4"
"Botswana","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","300","pula","1993","Western calendar year","36569953457.6727","4,5","4,5"
"Botswana","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","300","pula","1993","Western calendar year","23838831817.627","4","4"
"Botswana","2.1","Industries","Hotels and restaurants","H","2018","300","pula","1993","Western calendar year","11965730957.0313","4","4"
"Botswana","2.1","Industries","Transport, storage and communications","I","2018","300","pula","1993","Western calendar year","11508671198.1476","4,5","4,5"
"Botswana","2.1","Industries","Land transport; transport via pipelines, water transport; air transport; Supporting and auxiliary transport activities; activities of travel agencies","60-63","2018","300","pula","1993","Western calendar year","6323373790.74097","4","4"
"Botswana","2.1","Industries","Post and telecommunications","64","2018","300","pula","1993","Western calendar year","4802282592.77344","4","4"
"Botswana","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","300","pula","1993","Western calendar year","26895563165.1947","4,5","4,5"
"Botswana","2.1","Industries","Financial intermediation","J","2018","300","pula","1993","Western calendar year","8137698303.22266","4","4"
"Botswana","2.1","Industries","Real estate, renting and business activities","K","2018","300","pula","1993","Western calendar year","18073016609.1919","4","4"
"Botswana","2.1","Industries","Public administration and defence; compulsory social security","L","2018","300","pula","1993","Western calendar year","27538745950.6989","",""
"Botswana","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","300","pula","1993","Western calendar year","10502204063.929","4","4"
"Botswana","2.1","Industries","Other community, social and personal services","O","2018","300","pula","1993","Western calendar year","10502204063.929","4","4"
"Botswana","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","300","pula","1993","Western calendar year","172473509056.017","4","4"
"Botswana","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","300","pula","1993","Western calendar year","17394993829.5142","",""
"Botswana","2.1","Industries","Plus: Taxes on products","D.21","2018","300","pula","1993","Western calendar year","18180103538.4939","",""
"Botswana","2.1","Industries","Less: Subsidies on products","D.31","2018","300","pula","1993","Western calendar year","785109708.979759","",""
"Botswana","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","300","pula","1993","Western calendar year","189868502885.531","",""
"Cambodia","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","100","riel                                    ","1993","Western calendar year","21912637311728.5","",""
"Cambodia","2.1","Industries","Agriculture, hunting, forestry","A","2018","100","riel                                    ","1993","Western calendar year","16645710106624.4","",""
"Cambodia","2.1","Industries","Agriculture, hunting and related service activities","01","2018","100","riel                                    ","1993","Western calendar year","15173159413323.8","",""
"Cambodia","2.1","Industries","Forestry, logging and related service activities","02","2018","100","riel                                    ","1993","Western calendar year","1472550693300.66","",""
"Cambodia","2.1","Industries","Fishing","B","2018","100","riel                                    ","1993","Western calendar year","5266927205104.11","",""
"Cambodia","2.1","Industries","Mining and quarrying","C","2018","100","riel                                    ","1993","Western calendar year","1803634932020.85","",""
"Cambodia","2.1","Industries","Manufacturing","D","2018","100","riel                                    ","1993","Western calendar year","16274905205101.8","",""
"Cambodia","2.1","Industries","Electricity, gas and water supply","E","2018","100","riel                                    ","1993","Western calendar year","566932177603.339","",""
"Cambodia","2.1","Industries","Construction","F","2018","100","riel                                    ","1993","Western calendar year","13496769899673","",""
"Cambodia","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","100","riel                                    ","1993","Western calendar year","13852584275467.6","",""
"Cambodia","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","100","riel                                    ","1993","Western calendar year","9439211094180.47","",""
"Cambodia","2.1","Industries","Hotels and restaurants","H","2018","100","riel                                    ","1993","Western calendar year","4413373181287.09","",""
"Cambodia","2.1","Industries","Transport, storage and communications","I","2018","100","riel                                    ","1993","Western calendar year","7907738117366.21","",""
"Cambodia","2.1","Industries","Financial intermediation; real estate, renting and business activities","J+K","2018","100","riel                                    ","1993","Western calendar year","9133672685507.35","",""
"Cambodia","2.1","Industries","Financial intermediation","J","2018","100","riel                                    ","1993","Western calendar year","1949250579458.3","",""
"Cambodia","2.1","Industries","Real estate, renting and business activities","K","2018","100","riel                                    ","1993","Western calendar year","7184422106049.05","",""
"Cambodia","2.1","Industries","Public administration and defence; compulsory social security","L","2018","100","riel                                    ","1993","Western calendar year","1272745095963.56","",""
"Cambodia","2.1","Industries","Education; health and social work; other community, social and personal services","M+N+O","2018","100","riel                                    ","1993","Western calendar year","7145350783709.01","6","6"
"Cambodia","2.1","Industries","Equals: VALUE ADDED, GROSS, in basic prices","B.1g","2018","100","riel                                    ","1993","Western calendar year","93366970484141.2","",""
"Cambodia","2.1","Industries","Less: Financial intermediation services indirectly measured (FISIM)","P.119","2018","100","riel                                    ","1993","Western calendar year","1273059744248.62","",""
"Cambodia","2.1","Industries","Plus: Taxes less Subsidies on products","D.21-D.31","2018","100","riel                                    ","1993","Western calendar year","7616555705477.84","",""
"Cambodia","2.1","Industries","Plus: Taxes on products","D.21","2018","100","riel                                    ","1993","Western calendar year","7782747358400.58","",""
"Cambodia","2.1","Industries","Less: Subsidies on products","D.31","2018","100","riel                                    ","1993","Western calendar year","166191652922.739","",""
"Cambodia","2.1","Industries","Equals: GROSS DOMESTIC PRODUCT","B.1*g","2018","100","riel                                    ","1993","Western calendar year","99544274792447.7","",""
"Central African Republic","2.1","Industries","Agriculture, hunting, forestry; fishing","A+B","2018","60","CFA Franc","1968","Western calendar year","385403987538.309","",""
"Central African Republic","2.1","Industries","Agriculture, hunting, forestry","A","2018","60","CFA Franc","1968","Western calendar year","357649987731.663","",""
"Central African Republic","2.1","Industries","Agriculture, hunting and related service activities","01","2018","60","CFA Franc","1968","Western calendar year","323691992260.906","",""
"Central African Republic","2.1","Industries","Forestry, logging and related service activities","02","2018","60","CFA Franc","1968","Western calendar year","33957995470.7564","",""
"Central African Republic","2.1","Industries","Fishing","B","2018","60","CFA Franc","1968","Western calendar year","27753999806.6466","",""
"Central African Republic","2.1","Industries","Mining and quarrying","C","2018","60","CFA Franc","1968","Western calendar year","1572999973.09069","",""
"Central African Republic","2.1","Industries","Manufacturing","D","2018","60","CFA Franc","1968","Western calendar year","223677137235.265","",""
"Central African Republic","2.1","Industries","Electricity, gas and water supply","E","2018","60","CFA Franc","1968","Western calendar year","6960999140.98155","",""
"Central African Republic","2.1","Industries","Construction","F","2018","60","CFA Franc","1968","Western calendar year","21371618001.4592","",""
"Central African Republic","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and households goods; hotels and restaurants","G+H","2018","60","CFA Franc","1968","Western calendar year","229879971661.194","",""
"Central African Republic","2.1","Industries","Wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods","G","2018","60","CFA Franc","1968","Western calendar year","172562979292.853","",""
